#    Z   log(age/yr)   logL/Lo   logTe   int_IMF   stage
0.01520 9.00000 -2.91070 3.49830 1.57040 0.00000
0.01520 9.00000 -2.65590 3.52590 1.74783 0.00000
0.01520 9.00000 -2.48340 3.54130 1.89585 0.00000
0.01520 9.00000 -2.34950 3.55180 2.02115 0.00000
0.01520 9.00000 -2.14850 3.56540 2.22178 0.00000
0.01520 9.00000 -1.96200 3.57620 2.40809 0.00000
0.01520 9.00000 -1.72940 3.58740 2.61602 0.00000
0.01520 9.00000 -1.74070 3.58670 2.60410 1.00000
0.01520 9.00000 -1.69310 3.58980 2.65552 1.00000
0.01520 9.00000 -1.63670 3.59200 2.69408 1.00000
0.01520 9.00000 -1.56950 3.59410 2.73792 1.00000
0.01520 9.00000 -1.56530 3.59430 2.74134 1.00000
0.01520 9.00000 -1.45970 3.60070 2.81098 1.00000
0.01520 9.00000 -1.34470 3.60810 2.86848 1.00000
0.01520 9.00000 -1.29600 3.61140 2.88458 1.00000
0.01520 9.00000 -1.22200 3.61730 2.91664 1.00000
0.01520 9.00000 -1.16920 3.62110 2.93237 1.00000
0.01520 9.00000 -1.15320 3.62240 2.93692 1.00000
0.01520 9.00000 -1.14260 3.62320 2.93985 1.00000
0.01520 9.00000 -1.13470 3.62380 2.94196 1.00000
0.01520 9.00000 -1.12870 3.62410 2.94354 1.00000
0.01520 9.00000 -1.09230 3.62740 2.95740 1.00000
0.01520 9.00000 -0.96010 3.64010 2.99237 1.00000
0.01520 9.00000 -0.82690 3.65460 3.02254 1.00000
0.01520 9.00000 -0.69170 3.67420 3.04880 1.00000
0.01520 9.00000 -0.56000 3.69430 3.07187 1.00000
0.01520 9.00000 -0.48050 3.70640 3.08489 1.00000
0.01520 9.00000 -0.43430 3.71350 3.09222 1.00000
0.01520 9.00000 -0.31460 3.73090 3.11026 1.00000
0.01520 9.00000 -0.26970 3.73710 3.11669 1.00000
0.01520 9.00000 -0.20020 3.74670 3.12636 1.00000
0.01520 9.00000 -0.18510 3.74860 3.12839 1.00000
0.01520 9.00000 -0.09010 3.76080 3.14080 1.00000
0.01520 9.00000 0.01630 3.77340 3.15381 1.00000
0.01520 9.00000 0.09400 3.78210 3.16273 1.00000
0.01520 9.00000 0.11920 3.78480 3.16554 1.00000
0.01520 9.00000 0.12050 3.78500 3.16568 1.00000
0.01520 9.00000 0.21830 3.79520 3.17618 1.00000
0.01520 9.00000 0.24150 3.79760 3.17856 1.00000
0.01520 9.00000 0.31430 3.80500 3.18586 1.00000
0.01520 9.00000 0.38960 3.81260 3.19320 1.00000
0.01520 9.00000 0.40550 3.81420 3.19470 1.00000
0.01520 9.00000 0.49180 3.82280 3.20281 1.00000
0.01520 9.00000 0.57410 3.83150 3.21023 1.00000
0.01520 9.00000 0.65250 3.84020 3.21706 1.00000
0.01520 9.00000 0.68720 3.84460 3.22000 1.00000
0.01520 9.00000 0.72780 3.84970 3.22335 1.00000
0.01520 9.00000 0.79510 3.85870 3.22875 1.00000
